Game,Player,MaxConsecutiveHits
657,Player 2,3
658,Player 1,3
658,Player 2,0
659,Player 1,3
659,Player 2,1
660,Player 1,11
660,Player 2,0
661,Player 1,5
661,Player 2,3
662,Player 1,5
662,Player 2,3
663,Player 1,5
663,Player 2,2
664,Player 1,5
664,Player 2,1
665,Player 1,4
665,Player 2,2
666,Player 1,4
666,Player 2,2
667,Player 1,8
667,Player 2,3
668,Player 1,8
668,Player 2,2
669,Player 1,6
669,Player 2,4
670,Player 1,8
670,Player 2,0
671,Player 1,9
671,Player 2,2
672,Player 1,6
672,Player 2,0
673,Player 1,5
673,Player 2,1
674,Player 1,5
674,Player 2,8
675,Player 1,5
675,Player 2,5
676,Player 1,4
676,Player 2,0
677,Player 1,8
677,Player 2,5
678,Player 1,7
678,Player 2,0
679,Player 1,6
679,Player 2,1
680,Player 1,5
680,Player 2,2
681,Player 1,5
681,Player 2,0
682,Player 1,6
682,Player 2,0
683,Player 1,9
683,Player 2,3
684,Player 1,3
684,Player 2,6
685,Player 1,9
685,Player 2,0
686,Player 1,10
686,Player 2,2
687,Player 1,7
687,Player 2,3
688,Player 1,6
688,Player 2,2
689,Player 1,5
689,Player 2,5
690,Player 1,6
690,Player 2,0
691,Player 1,6
691,Player 2,3
692,Player 1,6
692,Player 2,5
693,Player 1,6
693,Player 2,0
694,Player 1,5
694,Player 2,4
695,Player 1,6
695,Player 2,4
696,Player 1,8
696,Player 2,2
697,Player 1,8
697,Player 2,4
698,Player 1,5
698,Player 2,0
699,Player 1,5
699,Player 2,0
700,Player 1,9
700,Player 2,4
701,Player 1,5
701,Player 2,1
702,Player 1,7
702,Player 2,3
703,Player 1,6
703,Player 2,3
704,Player 1,6
704,Player 2,3
705,Player 1,3
705,Player 2,5
706,Player 1,6
706,Player 2,2
707,Player 1,6
707,Player 2,3
708,Player 1,7
708,Player 2,1
709,Player 1,6
709,Player 2,0
710,Player 1,5
710,Player 2,0
711,Player 1,7
711,Player 2,2
712,Player 1,7
712,Player 2,4
713,Player 1,5
713,Player 2,6
714,Player 1,8
714,Player 2,0
715,Player 1,7
715,Player 2,3
716,Player 1,5
716,Player 2,0
717,Player 1,4
717,Player 2,2
718,Player 1,6
718,Player 2,4
719,Player 1,5
719,Player 2,3
720,Player 1,10
720,Player 2,1
721,Player 1,10
721,Player 2,0
722,Player 1,6
722,Player 2,3
723,Player 1,6
723,Player 2,3
724,Player 1,6
724,Player 2,1
725,Player 1,5
725,Player 2,4
726,Player 1,11
726,Player 2,0
727,Player 1,4
727,Player 2,0
728,Player 1,9
728,Player 2,4
729,Player 1,8
729,Player 2,5
730,Player 1,4
730,Player 2,2
731,Player 1,4
731,Player 2,1
732,Player 1,5
732,Player 2,5
733,Player 1,6
733,Player 2,0
734,Player 1,8
734,Player 2,2
735,Player 1,5
735,Player 2,3
736,Player 1,6
736,Player 2,4
737,Player 1,7
737,Player 2,0
738,Player 1,7
738,Player 2,0
739,Player 1,7
739,Player 2,2
740,Player 1,3
740,Player 2,5
741,Player 1,8
741,Player 2,0
742,Player 1,6
742,Player 2,0
743,Player 1,4
743,Player 2,1
744,Player 1,3
744,Player 2,0
745,Player 1,6
745,Player 2,3
746,Player 1,6
746,Player 2,4
747,Player 1,7
747,Player 2,1
748,Player 1,5
748,Player 2,2
749,Player 1,4
749,Player 2,2
750,Player 1,8
750,Player 2,3
751,Player 1,1
751,Player 2,3
752,Player 1,6
752,Player 2,4
753,Player 1,5
753,Player 2,0
754,Player 1,5
754,Player 2,4
755,Player 1,5
755,Player 2,1
756,Player 1,5
756,Player 2,1
757,Player 1,3
757,Player 2,2
758,Player 1,5
758,Player 2,2
759,Player 1,5
759,Player 2,0
760,Player 1,6
760,Player 2,0
761,Player 1,5
761,Player 2,2
762,Player 1,4
762,Player 2,0
763,Player 1,5
763,Player 2,3
764,Player 1,4
764,Player 2,3
765,Player 1,5
765,Player 2,3
766,Player 1,5
766,Player 2,3
767,Player 1,4
767,Player 2,3
768,Player 1,7
768,Player 2,0
769,Player 1,4
769,Player 2,4
770,Player 1,5
770,Player 2,0
771,Player 1,3
771,Player 2,5
772,Player 1,8
772,Player 2,3
773,Player 1,5
